replica	frame	1-4_eel	1-4_vdw	angle	bond	dihed	ecavity	edisper	eel	egb	epb	esurf	vdwaals	pb_tot	gb_tot
2	24.0	-482.5727	8.1351	24.4206	10.8003	14.3002	3.0174	0.0	202.4887	-23.5199	-25.491	0.0	-2.9035	-247.80489999999998	-248.85119999999995
2	25.0	-478.5844	7.3219	23.5022	3.792	10.5704	2.992	0.0	203.7208	-25.0361	-27.3904	0.0	-2.9089	-256.9844	-257.6221
2	26.0	-477.471	8.6877	22.3824	8.4382	13.0762	3.0615	0.0	202.5939	-26.4137	-27.9494	0.0	-3.3006	-250.4811	-252.0069
2	27.0	-482.4639	7.9958	13.9039	5.3568	9.0324	2.9771	0.0	202.8968	-23.9484	-26.425	0.0	-0.1807	-266.90680000000003	-267.4073000000001
2	28.0	-479.7868	8.8372	21.2793	7.289	12.2556	3.0043	0.0	202.8065	-25.8504	-27.4083	0.0	-3.066	-254.78920000000002	-256.23560000000003
2	29.0	-488.8489	7.799	25.0002	11.9196	13.6083	2.9784	0.0	212.1313	-28.2474	-30.3506	0.0	-3.2197	-248.98239999999998	-249.85760000000002
2	30.0	-480.7102	8.5643	17.2772	8.6372	10.3702	3.018	0.0	203.7401	-24.5268	-26.3313	0.0	-2.6584	-258.09289999999993	-259.30639999999994
2	31.0	-493.0041	6.6646	16.2822	12.5456	10.348	3.0132	0.0	214.4959	-23.5488	-25.444	0.0	-3.6064	-258.7049999999999	-259.823
2	32.0	-497.7118	9.706	18.6485	8.2912	15.7224	2.8449	0.0	219.9964	-22.587	-24.8077	0.0	-4.5324	-251.84249999999997	-252.46669999999995
2	33.0	-484.5447	9.0393	18.2072	7.2438	14.8273	2.763	0.0	211.1247	-26.4294	-27.4863	0.0	-5.4832	-254.30889999999997	-256.01499999999993
2	34.0	-492.0234	8.0846	19.0354	8.2033	13.2017	2.9395	0.0	215.0009	-23.0977	-24.3165	0.0	-3.668	-253.54249999999996	-255.26319999999998
2	35.0	-491.7138	8.5608	16.8745	6.5297	10.4122	2.8836	0.0	218.8628	-25.462	-27.731	0.0	-3.712	-259.0332	-259.6478
2	36.0	-493.2786	8.0103	20.5898	6.448	16.6914	2.8504	0.0	217.9395	-25.2186	-27.7786	0.0	-1.3501	-249.87789999999995	-250.16829999999996
2	37.0	-482.5707	6.854	18.8819	10.0795	15.5014	2.819	0.0	209.3131	-24.8759	-26.5626	0.0	-5.086	-250.7704	-251.90269999999998
2	38.0	-484.9135	7.9613	14.7621	13.4672	16.9776	2.7857	0.0	209.2495	-25.3962	-26.5311	0.0	-5.3765	-251.61769999999999	-253.26849999999996
2	39.0	-487.5871	7.3515	18.7429	10.4075	13.9206	3.0049	0.0	211.235	-22.5255	-24.5278	0.0	-3.1797	-250.63220000000004	-251.6348
2	40.0	-496.8257	7.0904	19.0504	13.6414	12.383	2.8764	0.0	219.0863	-24.1384	-25.5242	0.0	-5.166	-253.388	-254.8786
3	1.0	-484.2331	9.2306	19.7013	7.1458	9.3492	3.0303	0.0	208.2033	-26.4286	-28.5197	0.0	-3.1707	-259.263	-260.20219999999995
3	2.0	-480.7545	7.9803	15.9788	9.3896	7.7928	3.0153	0.0	205.0127	-25.5448	-27.7618	0.0	-2.6016	-261.94840000000005	-262.74670000000003
3	3.0	-484.8572	11.8347	23.4067	7.8832	14.0668	2.9928	0.0	208.3296	-25.5234	-27.6998	0.0	-3.2708	-247.31400000000002	-248.13039999999998
3	4.0	-478.873	8.5354	14.7521	7.0807	14.0749	3.0294	0.0	204.7098	-27.4939	-29.1127	0.0	-3.3187	-259.1221	-260.5327
3	5.0	-480.8125	8.8088	14.8848	8.5609	8.2702	3.0204	0.0	202.848	-24.7821	-26.7567	0.0	-2.9672	-264.14329999999995	-265.1891
3	6.0	-477.3362	6.5262	24.5472	8.3031	13.0761	3.0166	0.0	202.1134	-26.3048	-27.7922	0.0	-3.0424	-250.58819999999997	-252.11739999999998
3	7.0	-489.948	9.3626	25.1332	7.5306	13.9101	3.0381	0.0	211.9209	-27.4884	-29.327	0.0	-2.8396	-251.2191	-252.41860000000003
3	8.0	-485.166	8.0189	21.9423	11.115	9.9209	3.025	0.0	211.4833	-28.106	-30.7611	0.0	-3.1142	-253.53590000000003	-253.90580000000003
3	9.0	-472.249	8.4123	17.3601	8.176	13.0146	3.0392	0.0	196.4102	-25.4998	-26.5826	0.0	-2.7063	-255.12550000000005	-257.0819
3	10.0	-480.7589	9.6599	17.0167	10.036	16.0838	3.0141	0.0	204.5725	-27.478	-29.5034	0.0	-2.342	-252.22129999999999	-253.20999999999998
3	11.0	-483.587	9.5798	19.661	9.7479	11.0686	2.9504	0.0	204.0258	-22.4308	-24.2517	0.0	-2.7024	-253.5076	-254.63709999999998
3	12.0	-477.9014	6.6357	21.1145	7.9405	12.1865	2.95	0.0	198.8639	-21.0484	-22.0874	0.0	-2.9689	-253.2666	-255.17760000000004
3	13.0	-480.637	7.1589	15.0994	6.0784	13.3457	2.9927	0.0	203.8537	-25.6152	-27.6487	0.0	-1.7598	-261.51669999999996	-262.4759
3	14.0	-488.022	7.9014	21.5806	8.4934	11.6965	2.9577	0.0	212.2927	-27.8275	-30.0317	0.0	-2.1271	-255.25849999999997	-256.01199999999994
3	15.0	-482.5265	7.7218	16.4034	7.3918	13.8676	3.0378	0.0	207.2912	-27.9462	-29.4637	0.0	-3.5039	-259.7805	-261.3008
3	16.0	-484.7526	7.4157	18.9973	11.8543	12.8921	3.019	0.0	207.0126	-26.7997	-29.5355	0.0	-2.8696	-255.96669999999995	-256.2498999999999
3	17.0	-480.7212	8.4497	17.212	8.317	15.6952	3.0355	0.0	206.86	-28.4353	-30.5832	0.0	-3.3971	-255.13209999999998	-256.0197
3	18.0	-474.4547	8.5978	16.9265	5.0148	8.9694	2.9777	0.0	202.7063	-26.7722	-28.2085	0.0	-1.3697	-258.8404	-260.3818
3	19.0	-478.2257	6.4226	19.8341	5.8962	8.9307	3.0165	0.0	201.8852	-24.0129	-25.6961	0.0	-2.8723	-260.8088	-262.1421
3	20.0	-479.7944	7.6859	15.5429	9.4811	12.3347	3.0398	0.0	204.6054	-28.0659	-29.6657	0.0	-3.0484	-259.8187	-261.2587
3	21.0	-481.8026	8.1118	21.086	14.1044	13.3447	3.0558	0.0	205.2014	-26.4686	-28.4714	0.0	-2.7893	-248.15919999999994	-249.21219999999997
3	22.0	-477.7703	7.8623	18.3792	8.4456	9.9173	3.045	0.0	203.4104	-28.1811	-29.6534	0.0	-3.5795	-259.9434	-261.51610000000005
3	23.0	-480.4673	8.7376	13.9923	8.793	17.8807	2.9954	0.0	205.2228	-26.5046	-28.6551	0.0	-2.8491	-254.3497	-255.19460000000004
3	24.0	-478.2478	8.0308	18.389	4.7764	11.5937	3.0026	0.0	203.6741	-26.5366	-28.628	0.0	-2.6758	-260.085	-260.9962
3	25.0	-480.6569	6.7729	23.7434	7.8872	11.4775	3.0179	0.0	200.7044	-23.9678	-25.8667	0.0	-2.3319	-255.25220000000002	-256.37120000000004
3	26.0	-475.5013	7.2089	18.742	3.9467	10.8983	3.0329	0.0	200.9214	-26.0862	-27.8594	0.0	-1.8939	-260.50440000000003	-261.76410000000004
3	27.0	-478.7046	9.5563	11.6608	10.7824	14.5819	3.0202	0.0	202.1562	-26.2212	-27.9904	0.0	-1.3161	-256.25329999999997	-257.5043
3	28.0	-479.7706	9.3588	18.4674	7.3613	12.1042	3.0015	0.0	200.6865	-23.6947	-26.1813	0.0	-1.2989	-256.2711	-256.786
3	29.0	-479.8402	8.4584	18.5652	8.2861	12.3959	3.0158	0.0	203.744	-25.2303	-27.1903	0.0	-2.4496	-255.01470000000003	-256.07050000000004
3	30.0	-482.1406	8.1369	18.4038	6.5963	12.3371	3.0017	0.0	205.7621	-26.5856	-29.0045	0.0	-2.4925	-259.3997	-259.9825
3	31.0	-479.5824	8.3597	16.1634	11.1256	10.1541	2.9971	0.0	202.3823	-25.2203	-27.6408	0.0	-1.0445	-257.0855000000001	-257.66210000000007
3	32.0	-480.6465	8.2464	12.4668	8.2641	13.1573	3.0271	0.0	204.1596	-26.6977	-28.5162	0.0	-3.311	-263.15239999999994	-264.361
3	33.0	-480.0783	7.0494	14.2274	10.773	13.0734	3.0518	0.0	205.5753	-28.1266	-29.906	0.0	-3.2439	-259.4779	-260.75030000000004
3	34.0	-488.1363	9.0543	28.0502	10.6785	11.5928	2.9919	0.0	206.5753	-23.2545	-25.741	0.0	-1.7506	-246.6849	-247.19029999999998
